Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,DateTime_Intake_month,DateTime_Intake_year,DateTime_Outcome_month,DateTime_Outcome_year,Date of Birth_month,Date of Birth_year,Day_in_shelter,Reproduction_ability,health_Situation
A793202,Austin,Stray,Normal,Cat,Intact Female,516.0,Domestic Shorthair Mix,Black,Spayed Female,527.0,Alive,4,2019,5,2019,11,2017,11.0,No,Healthy
A810753,Austin,Stray,Normal,Dog,Spayed Female,2770.0,Other,Mix color,Spayed Female,2774.0,Alive,12,2019,12,2019,5,2012,4.0,No,Healthy
A736263,Austin,Stray,Normal,Dog,Intact Male,33.0,Chihuahua Shorthair Mix,Mix color,Neutered Male,57.0,Alive,10,2016,11,2016,9,2016,24.0,No,Healthy
A728189,Austin,Stray,Normal,Dog,Spayed Female,3288.0,Other,Tan,Spayed Female,3289.0,Alive,5,2016,6,2016,5,2007,1.0,No,Healthy
A727808,Austin,Stray,Normal,Cat,Spayed Female,731.0,Domestic Shorthair Mix,Other,Spayed Female,731.0,Death,5,2016,5,2016,5,2014,0.0,No,Healthy
A664369,Valle,Public Assist,Normal,Dog,Intact Male,131.0,Other,Black,Neutered Male,138.0,Alive,10,2013,10,2013,5,2013,7.0,No,Healthy
A778362,Austin,Stray,Normal,Dog,Intact Female,122.0,German Shepherd Mix,Mix color,Spayed Female,127.0,Alive,8,2018,8,2018,4,2018,5.0,No,Healthy
A777995,Austin,Stray,Normal,Dog,Intact Male,730.0,Labrador Retriever Mix,Mix color,Neutered Male,741.0,Alive,8,2018,8,2018,8,2016,11.0,No,Healthy
A676664,Austin,Stray,Normal,Dog,Intact Male,274.0,Other,Black,Neutered Male,305.0,Alive,4,2014,5,2014,7,2013,31.0,No,Healthy
A799977,Austin,Public Assist,Normal,Dog,Intact Male,733.0,Other,Mix color,Intact Male,741.0,Alive,7,2019,7,2019,7,2017,8.0,Yes,Healthy
A693174,Austin,Owner Surrender,Normal,Cat,Intact Female,87.0,Domestic Shorthair Mix,Mix color,Spayed Female,101.0,Alive,12,2014,12,2014,9,2014,14.0,No,Healthy
A811844,Austin,Owner Surrender,Normal,Cat,Spayed Female,2801.0,Other,Mix color,Spayed Female,2803.0,Alive,1,2020,1,2020,5,2012,2.0,No,Healthy
A681163,Austin,Stray,Nursing,Cat,Intact Male,15.0,Domestic Shorthair Mix,Tabby,Intact Male,15.0,Alive,6,2014,6,2014,5,2014,0.0,Yes,Healthy
A739845,Pflugerville,Stray,Normal,Dog,Neutered Male,1114.0,Pit Bull Mix,Mix color,Neutered Male,1115.0,Alive,12,2016,12,2016,11,2013,1.0,No,Healthy
A806434,Austin,Owner Surrender,Sick,Dog,Intact Male,730.0,Other,Mix color,Neutered Male,733.0,Alive,10,2019,10,2019,10,2017,3.0,No,Unhealthy
A793704,Austin,Stray,Normal,Cat,Intact Female,26.0,Domestic Shorthair Mix,Blue,Intact Female,28.0,Alive,4,2019,4,2019,4,2019,2.0,Yes,Healthy
A709923,Austin,Stray,Normal,Cat,Intact Male,22.0,Domestic Shorthair Mix,Tabby,Intact Male,22.0,Alive,8,2015,8,2015,7,2015,0.0,Yes,Healthy
A698655,Austin,Stray,Normal,Dog,Intact Male,2556.0,Other,Other,Neutered Male,2565.0,Alive,3,2015,3,2015,3,2008,9.0,No,Healthy
A747325,Austin,Stray,Nursing,Dog,Intact Male,2.0,Chihuahua Shorthair Mix,Tan,Neutered Male,83.0,Alive,4,2017,7,2017,4,2017,81.0,No,Healthy
A770180,Austin,Public Assist,Normal,Dog,Neutered Male,212.0,Other,Mix color,Neutered Male,221.0,Alive,4,2018,4,2018,9,2017,9.0,No,Healthy
A650349,Austin,Owner Surrender,Normal,Cat,Spayed Female,2401.0,Domestic Shorthair Mix,Tortie,Spayed Female,2456.0,Alive,10,2013,12,2013,3,2007,55.0,No,Healthy
A750007,Austin,Stray,Normal,Cat,Intact Female,30.0,Domestic Shorthair Mix,Tortie,Spayed Female,49.0,Alive,5,2017,6,2017,4,2017,19.0,No,Healthy
A746377,Austin,Wildlife,Normal,Other,Unknown,365.0,Bat Mix,Brown,Unknown,366.0,Death,4,2017,4,2017,4,2016,1.0,Unknown,Healthy
A725298,Austin,Stray,Normal,Cat,Intact Male,366.0,Siamese Mix,Point,Neutered Male,372.0,Alive,4,2016,5,2016,4,2015,6.0,No,Healthy
A785393,Travis,Stray,Normal,Dog,Intact Female,183.0,Other,Blue,Spayed Female,240.0,Alive,12,2018,1,2019,6,2018,57.0,No,Healthy
A720159,Austin,Stray,Normal,Cat,Intact Male,69.0,Domestic Shorthair Mix,Black,Neutered Male,108.0,Alive,2,2016,3,2016,11,2015,39.0,No,Healthy
A665404,Austin,Stray,Normal,Dog,Spayed Female,1461.0,Other,Mix color,Spayed Female,1461.0,Alive,10,2013,10,2013,10,2009,0.0,No,Healthy
A758526,Austin,Stray,Normal,Cat,Intact Female,31.0,Other,Torbie,Spayed Female,62.0,Alive,9,2017,10,2017,8,2017,31.0,No,Healthy
A664503,Travis,Stray,Normal,Cat,Intact Male,76.0,Domestic Shorthair Mix,Mix color,Neutered Male,82.0,Alive,10,2013,10,2013,7,2013,6.0,No,Healthy
A766606,Austin,Stray,Normal,Cat,Spayed Female,276.0,Domestic Shorthair Mix,Black,Spayed Female,281.0,Alive,2,2018,2,2018,5,2017,5.0,No,Healthy
A701094,Austin,Stray,Normal,Cat,Intact Male,151.0,Domestic Shorthair Mix,Tabby,Intact Male,152.0,Alive,4,2015,4,2015,11,2014,1.0,Yes,Healthy
A704365,Austin,Stray,Normal,Cat,Intact Female,61.0,Domestic Shorthair Mix,Mix color,Spayed Female,96.0,Alive,6,2015,7,2015,4,2015,35.0,No,Healthy
A799230,Austin,Stray,Sick,Cat,Intact Male,52.0,Domestic Shorthair,Mix color,Intact Male,53.0,Alive,7,2019,7,2019,5,2019,1.0,Yes,Unhealthy
A718115,Austin,Stray,Normal,Cat,Intact Male,1461.0,Domestic Shorthair Mix,Mix color,Neutered Male,1479.0,Alive,12,2015,1,2016,12,2011,18.0,No,Healthy
A786061,Austin,Owner Surrender,Normal,Cat,Intact Female,46.0,Domestic Medium Hair Mix,Tortie,Spayed Female,77.0,Alive,12,2018,1,2019,10,2018,31.0,No,Healthy
A590089,Austin,Euthanasia Request,Normal,Dog,Spayed Female,1895.0,Other,Mix color,Spayed Female,1896.0,Death,4,2015,4,2015,2,2010,1.0,No,Healthy
A788861,Austin,Owner Surrender,Normal,Cat,Neutered Male,1826.0,Other,Tabby,Neutered Male,1830.0,Alive,2,2019,2,2019,2,2014,4.0,No,Healthy
A689842,Austin,Stray,Normal,Dog,Intact Female,107.0,Other,Other,Spayed Female,117.0,Alive,10,2014,10,2014,6,2014,10.0,No,Healthy
